0	1	0
0	2	1
0	3	2
0	5	3
0	6	4
0	8	5
0	10	6
0	11	7
0	12	8
0	14	9
0	15	10
0	17	11
0	18	12
0	19	13
0	21	14
0	22	15
0	24	16
0	25	17
0	27	18
0	28	19
0	30	20
0	31	21
0	33	22
0	34	23
0	36	24
0	37	25
0	39	26
0	40	27
0	42	28
0	43	29
0	45	30
0	46	31
0	48	32
0	49	33
0	50	34
0	52	35
0	54	36
0	55	37
0	56	38
0	58	39
0	59	40
0	61	41
0	62	42
0	64	43
0	65	44
0	67	45
0	68	46
0	69	47
0	71	48
0	73	49
0	74	50
0	76	51
0	77	52
0	78	53
0	80	54
0	81	55
0	82	56
0	84	57
0	85	58
0	87	59
0	88	60
0	90	61
0	91	62
0	93	63
0	94	64
0	96	65
0	97	66
0	98	67
0	100	68
0	101	69
0	103	70
0	104	71
0	106	72
0	107	73
0	109	74
0	110	75
0	112	76
0	113	77
0	115	78
0	116	79
0	118	80
0	119	81
0	121	82
0	122	83
0	123	84
0	125	85
0	126	86
0	128	87
0	129	88
0	131	89
0	132	90
0	134	91
0	135	92
0	136	93
0	138	94
0	139	95
0	141	96
0	142	97
0	144	98
0	145	99
